20:03:08 [INFO] Found game object: BossRoom2
20:03:08 [INFO] Found game object: pos (8)
20:03:08 [INFO] Found game object: pos (15)
20:03:08 [INFO] Found game object: DemonSkeletonPool
20:03:08 [INFO] Found game object: pos (20)
20:03:08 [INFO] Found game object: MageSkullPool
20:03:08 [INFO] Found game object: LinkedPortals
20:03:08 [INFO] Found game object: pos (14)
20:03:08 [INFO] Found game object: pos (1)
20:03:08 [INFO] Found game object: Chunk (16,-16)
20:03:08 [INFO] Found game object: PortalParent
20:03:08 [INFO] Found game object: PlatformLvl2
20:03:08 [INFO] Found game object: ArcherSkeletonPool
20:03:08 [INFO] Found game object: Collision_Default
20:03:08 [INFO] Found game object: TeleportPos
20:03:08 [INFO] Found game object: Particules2
20:03:08 [INFO] Found game object: pos (19)
20:03:08 [INFO] Found game object: Chunk (16,0)
20:03:08 [INFO] Found game object: PlatformLvl2 (2)
20:03:08 [INFO] Found game object: pos (13)
20:03:08 [INFO] Found game object: Chunk (0,0)
20:03:08 [INFO] Found game object: pos (8)
20:03:08 [INFO] Found game object: ProjZone2
20:03:08 [INFO] Found game object: pos (17)
20:03:08 [INFO] Found game object: pos (15)
20:03:08 [INFO] Found game object: Grid
20:03:08 [INFO] Found game object: Skull
20:03:08 [INFO] Found game object: pos (21)
20:03:08 [INFO] Found game object: Collision_Default
20:03:08 [INFO] Found game object: Collision_Default
20:03:08 [INFO] Found game object: BlinkFX
20:03:08 [INFO] Found game object: Chunk (-16,-16)
20:03:08 [INFO] Found game object: Chunk (-16,0)
20:03:08 [INFO] Found game object: Pos1
20:03:08 [INFO] Found game object: pos (7)
20:03:08 [INFO] Found game object: Collision_Default
20:03:08 [INFO] Found game object: Collision_Default
20:03:08 [INFO] Found game object: pos (10)
20:03:08 [INFO] Found game object: pos (6)
20:03:08 [INFO] Found game object: Pos2
20:03:08 [INFO] Found game object: background
20:03:08 [INFO] Found game object: Collision_Default
20:03:08 [INFO] Found game object: Chunk (0,-16)
20:03:08 [INFO] Found game object: Chunk (-16,0)
20:03:08 [INFO] Found game object: pos (3)
20:03:08 [INFO] Found game object: Chunk (16,0)
20:03:08 [INFO] Found game object: Collision_Default
20:03:08 [INFO] Found game object: pos (12)
20:03:08 [INFO] Found game object: pos (11)
20:03:08 [INFO] Found game object: Collision_Default
20:03:08 [INFO] Found game object: pos (2)
20:03:08 [INFO] Found game object: ChangeLvlPortal
20:03:08 [INFO] Found game object: Chunk (-32,-16)
20:03:08 [INFO] Found game object: pos (11)
20:03:08 [INFO] Found game object: DemonSkeleton
20:03:08 [INFO] Found game object: PlayerSpawn
20:03:08 [INFO] Found game object: PlatformLvl2 (3)
20:03:08 [INFO] Found game object: pos (6)
20:03:08 [INFO] Found game object: pos (17)
20:03:08 [INFO] Found game object: pos
20:03:08 [INFO] Found game object: Collision_Default
20:03:08 [INFO] Found game object: pos (1)
20:03:08 [INFO] Found game object: Skele
20:03:08 [INFO] Found game object: pos
20:03:08 [INFO] Found game object: ProjectilePool
20:03:08 [INFO] Found game object: room
20:03:08 [INFO] Found game object: PlatformLvl2 (1)
20:03:08 [INFO] Found game object: NecromancerManager
20:03:08 [INFO] Found game object: Collision_Default
20:03:08 [INFO] Found game object: Chunk (0,0)
20:03:08 [INFO] Found game object: Slime
20:03:08 [INFO] Found game object: pos (20)
20:03:08 [INFO] Found game object: FireTorch (1)
20:03:08 [INFO] Found game object: pos (16)
20:03:08 [INFO] Found game object: Chunk (-32,-16)
20:03:08 [INFO] Found game object: Chunk (16,-16)
20:03:08 [INFO] Found game object: pos (9)
20:03:08 [INFO] Found game object: Pos3
20:03:08 [INFO] Found game object: FireTorch
20:03:08 [INFO] Found game object: pos (3)
20:03:08 [INFO] Found game object: pos (18)
20:03:08 [INFO] Found game object: Collision_Default
20:03:08 [INFO] Found game object: Collision_Default
20:03:08 [INFO] Found game object: MageSkeletonBullet
20:03:08 [INFO] Found game object: Arrow
20:03:08 [INFO] Found game object: pos (9)
20:03:08 [INFO] Found game object: pos (13)
20:03:08 [INFO] Found game object: Collision_Default
20:03:08 [INFO] Found game object: pos (7)
20:03:08 [INFO] Found game object: pos (10)
20:03:08 [INFO] Found game object: WarningLasers
20:03:08 [INFO] Found game object: Lasers
20:03:08 [INFO] Found game object: Boss
20:03:08 [INFO] Found game object: Necromancer
20:03:08 [INFO] Found game object: BossProjectiles
20:03:08 [INFO] Found scene: Death
